,cell_num,file_name,mh score,kg score
83,11,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell11.jpg,2,2
84,12,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell12.jpg,3,3
85,1,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell1.jpg,2,2
86,2,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell2.jpg,3,3
87,3,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell3.jpg,3,3
88,4,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell4.jpg,1,2
89,5,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell5.jpg,2,3
90,6,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell6.jpg,3,4
91,7,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell7.jpg,3,3
92,8,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell8.jpg,3,3
93,1,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell1.jpg,1,2
94,2,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell2.jpg,0,0
95,3,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell3.jpg,1,1
96,4,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell4.jpg,2,3
97,5,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell5.jpg,2,3
98,6,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell6.jpg,2,2
99,7,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell7.jpg,0,0
100,8,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell8.jpg,3,3
101,9,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell9.jpg,3,2
102,10,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell10.jpg,3,3
103,1,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell1.jpg,3,3
104,2,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell2.jpg,3,3
105,3,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell3.jpg,3,3
106,4,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell4.jpg,3,3
107,5,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell5.jpg,3,3
108,6,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell6.jpg,1,2
109,7,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell7.jpg,3,3
110,8,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell8.jpg,2,1
111,9,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell9.jpg,2,3
112,1,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell1.jpg,3,3
113,2,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell2.jpg,2,2
114,3,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell3.jpg,2,2
115,4,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell4.jpg,2,2
116,5,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell5.jpg,3,3
117,6,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell6.jpg,3,3
118,7,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell7.jpg,3,3
119,8,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell8.jpg,3,2
120,9,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell9.jpg,3,2
121,10,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell10.jpg,3,4
122,11,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell11.jpg,2,3
123,12,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell12.jpg,2,3
124,13,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell13.jpg,3,3
125,14,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell14.jpg,5,5
126,15,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell15.jpg,3,4
127,16,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell16.jpg,3,3
128,17,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell17.jpg,3,3
129,18,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell18.jpg,3,3
130,19,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell19.jpg,3,4
131,1,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell1.jpg,0,0
132,2,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell2.jpg,3,3
133,3,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell3.jpg,4,4
134,4,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell4.jpg,4,4
135,5,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell5.jpg,3,3
136,6,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell6.jpg,3,3
137,7,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell7.jpg,2,2
138,8,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell8.jpg,3,3
139,9,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell9.jpg,3,3
140,10,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell10.jpg,2,3
141,11,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell11.jpg,2,2
142,12,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell12.jpg,3,3
143,13,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell13.jpg,2,2
144,14,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell14.jpg,2,2
145,15,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell15.jpg,2,2
146,1,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell1.jpg,3,3
147,2,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell2.jpg,3,3
148,3,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell3.jpg,0,0
149,4,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell4.jpg,3,3
150,5,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell5.jpg,0,0
151,6,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell6.jpg,2,2
152,7,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell7.jpg,2,3
153,8,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell8.jpg,1,3
154,1,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell1.jpg,0,0
155,2,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell2.jpg,3,3
156,3,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell3.jpg,3,2
157,4,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell4.jpg,3,2
158,5,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell5.jpg,3,3
159,6,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell6.jpg,3,3
160,7,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell7.jpg,3,3
161,8,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell8.jpg,3,3
162,9,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell9.jpg,3,2
163,10,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell10.jpg,3,4
164,11,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell11.jpg,3,3
165,12,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell12.jpg,4,3
166,13,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell13.jpg,3,2
167,14,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell14.jpg,2,2
168,15,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell15.jpg,2,2
169,1,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell1.jpg,3,3
170,2,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell2.jpg,3,3
171,3,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell3.jpg,2,3
172,4,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell4.jpg,2,3
173,5,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell5.jpg,2,3
174,6,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell6.jpg,4,4
175,7,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell7.jpg,3,3
176,1,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell1.jpg,0,0
177,2,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell2.jpg,0,0
178,3,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell3.jpg,0,0
179,4,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell4.jpg,2,2
180,5,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell5.jpg,3,5
181,6,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell6.jpg,0,0
182,7,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell7.jpg,3,3
183,8,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell8.jpg,3,2
184,9,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell9.jpg,2,3
185,10,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell10.jpg,2,2
186,11,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell11.jpg,2,3
187,12,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell12.jpg,1,2
188,1,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell1.jpg,2,2
189,2,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell2.jpg,3,4
190,3,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell3.jpg,2,3
191,4,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell4.jpg,4,5
192,5,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell5.jpg,2,3
193,6,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell6.jpg,3,4
194,1,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell1.jpg,2,3
195,2,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell2.jpg,2,3
196,3,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell3.jpg,1,2
197,4,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell4.jpg,1,1
198,5,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell5.jpg,2,3
199,6,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell6.jpg,3,3
200,7,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell7.jpg,3,4
201,8,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell8.jpg,2,3
202,9,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell9.jpg,2,2
203,10,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell10.jpg,3,3
204,11,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell11.jpg,3,3
205,12,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell12.jpg,2,2
206,13,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell13.jpg,1,2
207,14,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell14.jpg,2,3
208,15,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell15.jpg,3,3
209,16,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell16.jpg,2,2
210,17,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell17.jpg,2,2
211,18,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell18.jpg,2,3
212,19,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell19.jpg,2,3
213,1,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell1.jpg,3,3
214,2,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell2.jpg,3,4
215,3,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell3.jpg,3,3
216,4,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell4.jpg,3,3
217,5,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell5.jpg,0,0
218,6,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell6.jpg,1,3
219,7,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell7.jpg,4,4
220,8,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell8.jpg,3,3
221,9,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell9.jpg,2,2
222,10,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell10.jpg,3,3
223,11,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell11.jpg,-1,-1
224,1,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell1.jpg,3,4
225,2,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell2.jpg,2,2
226,3,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell3.jpg,3,3
227,4,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell4.jpg,3,2
228,5,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell5.jpg,4,4
229,6,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell6.jpg,4,4
230,7,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell7.jpg,3,4
231,8,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell8.jpg,3,4
232,9,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell9.jpg,1,1
233,10,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell10.jpg,4,5
234,11,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell11.jpg,3,2
235,12,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell12.jpg,2,3
236,1,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell1.jpg,3,3
237,2,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell2.jpg,3,3
238,3,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell3.jpg,2,4
239,4,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell4.jpg,3,4
240,5,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell5.jpg,2,2
241,6,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell6.jpg,3,4
242,7,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell7.jpg,1,2
243,8,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell8.jpg,1,1
244,9,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell9.jpg,2,3
245,10,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell10.jpg,2,2
246,11,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell11.jpg,3,3
247,12,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell12.jpg,1,2
248,13,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell13.jpg,4,4
249,1,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell1.jpg,2,3
250,2,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell2.jpg,2,3
251,3,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell3.jpg,2,3
252,4,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell4.jpg,2,2
253,5,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell5.jpg,3,3
254,6,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell6.jpg,2,2
255,7,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell7.jpg,3,3
256,8,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell8.jpg,3,3
257,9,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell9.jpg,3,3
258,10,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell10.jpg,3,3
259,11,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell11.jpg,3,3
260,12,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell12.jpg,3,2
261,13,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell13.jpg,0,0
262,14,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell14.jpg,3,3
263,15,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell15.jpg,3,4
264,1,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell1.jpg,2,2
265,2,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell2.jpg,3,3
266,3,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell3.jpg,3,2
267,4,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell4.jpg,2,3
268,5,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell5.jpg,3,3
269,6,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell6.jpg,1,2
270,7,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell7.jpg,2,3
271,8,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell8.jpg,3,3
272,9,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell9.jpg,3,3
273,10,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell10.jpg,1,2
274,11,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell11.jpg,0,0
275,12,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell12.jpg,0,0
276,13,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell13.jpg,3,3
277,14,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell14.jpg,3,2
278,15,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell15.jpg,2,2
