,FOVId,cell_num,file_name,mh score,kg score
30,,9,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell9.jpg,3,3
31,,10,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell10.jpg,0,0
32,,11,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell11.jpg,2,2
33,,12,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell12.jpg,2,3
34,,13,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell13.jpg,0,0
35,,1,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell1.jpg,3,3
36,,2,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell2.jpg,3,4
37,,3,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell3.jpg,1,1
38,,4,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell4.jpg,2,3
39,,5,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell5.jpg,4,4
40,,6,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell6.jpg,3,3
41,,7,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell7.jpg,2,2
42,,8,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell8.jpg,4,5
43,,9,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell9.jpg,2,3
44,,10,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell10.jpg,2,3
45,,11,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell11.jpg,2,2
46,,12,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell12.jpg,1,2
47,,13,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell13.jpg,3,3
48,,14,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell14.jpg,2,3
49,,15,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell15.jpg,1,2
50,,16,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell16.jpg,2,2
51,,17,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell17.jpg,1,2
52,,18,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell18.jpg,1,2
53,,19,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell19.jpg,1,2
54,,20,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell20.jpg,3,3
55,,1,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell1.jpg,4,4
56,,2,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell2.jpg,3,3
57,,3,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell3.jpg,3,3
58,,4,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell4.jpg,2,3
59,,1,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell1.jpg,1,1
60,,2,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell2.jpg,1,2
61,,3,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell3.jpg,3,3
62,,4,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell4.jpg,3,4
63,,5,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell5.jpg,1,2
64,,6,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell6.jpg,3,3
65,,7,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell7.jpg,1,2
66,,8,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell8.jpg,2,3
67,,9,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell9.jpg,1,2
68,,10,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell10.jpg,1,2
69,,11,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell11.jpg,3,4
70,,12,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell12.jpg,2,3
71,,13,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell13.jpg,1,1
72,,1,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell1.jpg,3,3
73,,2,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell2.jpg,1,2
74,,3,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell3.jpg,2,3
75,,4,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell4.jpg,1,2
76,,1,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell1.jpg,2,3
77,,2,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell2.jpg,0,0
78,,3,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell3.jpg,2,2
79,,4,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell4.jpg,2,2
80,,5,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell5.jpg,4,4
81,,6,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell6.jpg,3,3
82,,7,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell7.jpg,3,2
83,,1,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell1.jpg,2,2
84,,2,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell2.jpg,2,4
85,,3,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell3.jpg,1,2
86,,4,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell4.jpg,3,3
87,,5,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell5.jpg,3,3
88,,6,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell6.jpg,0,0
89,,7,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell7.jpg,4,4
90,,8,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell8.jpg,4,3
91,,9,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell9.jpg,2,3
92,,1,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell1.jpg,3,3
93,,2,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell2.jpg,0,0
94,,3,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell3.jpg,3,4
95,,1,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell1.jpg,4,4
96,,2,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell2.jpg,3,3
97,,3,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell3.jpg,3,3
98,,4,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell4.jpg,3,4
99,,5,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell5.jpg,3,3
100,,6,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell6.jpg,0,0
101,,7,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell7.jpg,0,0
102,,8,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell8.jpg,2,3
103,,9,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell9.jpg,2,2
104,,10,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell10.jpg,3,3
105,,11,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell11.jpg,2,2
106,,12,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell12.jpg,3,3
107,,1,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell1.jpg,2,2
108,,2,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell2.jpg,3,3
109,,3,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell3.jpg,3,3
110,,4,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell4.jpg,1,2
111,,5,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell5.jpg,2,3
112,,6,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell6.jpg,3,4
113,,7,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell7.jpg,3,3
114,,8,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell8.jpg,3,3
115,,1,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell1.jpg,1,2
116,,2,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell2.jpg,0,0
117,,3,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell3.jpg,1,1
118,,4,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell4.jpg,2,3
119,,5,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell5.jpg,2,3
120,,6,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell6.jpg,2,2
121,,7,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell7.jpg,0,0
122,,8,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell8.jpg,3,3
123,,9,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell9.jpg,3,2
124,,10,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell10.jpg,3,3
125,,1,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell1.jpg,3,3
126,,2,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell2.jpg,3,3
127,,3,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell3.jpg,3,3
128,,4,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell4.jpg,3,3
129,,5,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell5.jpg,3,3
130,,6,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell6.jpg,1,2
131,,7,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell7.jpg,3,3
132,,8,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell8.jpg,2,1
133,,9,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell9.jpg,2,3
134,,1,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell1.jpg,3,3
135,,2,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell2.jpg,2,2
136,,3,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell3.jpg,2,2
137,,4,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell4.jpg,2,2
138,,5,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell5.jpg,3,3
139,,6,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell6.jpg,3,3
140,,7,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell7.jpg,3,3
141,,8,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell8.jpg,3,2
142,,9,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell9.jpg,3,2
143,,10,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell10.jpg,3,4
144,,11,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell11.jpg,2,3
145,,12,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell12.jpg,2,3
146,,13,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell13.jpg,3,3
147,,14,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell14.jpg,5,5
148,,15,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell15.jpg,3,4
149,,16,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell16.jpg,3,3
150,,17,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell17.jpg,3,3
151,,18,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell18.jpg,3,3
152,,19,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell19.jpg,3,4
153,,1,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell1.jpg,0,0
154,,2,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell2.jpg,3,3
155,,3,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell3.jpg,4,4
156,,4,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell4.jpg,4,4
157,,5,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell5.jpg,3,3
158,,6,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell6.jpg,3,3
159,,7,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell7.jpg,2,2
160,,8,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell8.jpg,3,3
161,,9,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell9.jpg,3,3
162,,10,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell10.jpg,2,3
163,,11,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell11.jpg,2,2
164,,12,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell12.jpg,3,3
165,,13,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell13.jpg,2,2
166,,14,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell14.jpg,2,2
167,,15,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell15.jpg,2,2
168,,1,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell1.jpg,3,3
169,,2,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell2.jpg,3,3
170,,3,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell3.jpg,0,0
171,,4,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell4.jpg,3,3
172,,5,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell5.jpg,0,0
173,,6,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell6.jpg,2,2
174,,7,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell7.jpg,2,3
175,,8,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell8.jpg,1,3
176,,1,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell1.jpg,0,0
177,,2,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell2.jpg,3,3
178,,3,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell3.jpg,3,2
179,,4,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell4.jpg,3,2
180,,5,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell5.jpg,3,3
181,,6,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell6.jpg,3,3
182,,7,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell7.jpg,3,3
183,,8,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell8.jpg,3,3
184,,9,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell9.jpg,3,2
185,,10,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell10.jpg,3,4
186,,11,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell11.jpg,3,3
187,,12,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell12.jpg,4,3
188,,13,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell13.jpg,3,2
189,,14,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell14.jpg,2,2
190,,15,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell15.jpg,2,2
191,,1,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell1.jpg,3,3
192,,2,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell2.jpg,3,3
193,,3,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell3.jpg,2,3
194,,4,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell4.jpg,2,3
195,,5,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell5.jpg,2,3
196,,6,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell6.jpg,4,4
197,,7,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell7.jpg,3,3
198,,1,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell1.jpg,0,0
199,,2,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell2.jpg,0,0
200,,3,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell3.jpg,0,0
201,,4,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell4.jpg,2,2
202,,5,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell5.jpg,3,5
203,,6,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell6.jpg,0,0
204,,7,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell7.jpg,3,3
205,,8,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell8.jpg,3,2
206,,9,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell9.jpg,2,3
207,,10,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell10.jpg,2,2
208,,11,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell11.jpg,2,3
209,,12,5500000013_63X_20190807_S1_P5_B3_annotations_corrected.Actn2_cell12.jpg,1,2
210,,1,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell1.jpg,2,2
211,,2,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell2.jpg,3,4
212,,3,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell3.jpg,2,3
213,,4,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell4.jpg,4,5
214,,5,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell5.jpg,2,3
215,,6,5500000013_63X_20190807_S1_P5_B4_annotations_corrected.Actn2_cell6.jpg,3,4
216,,1,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell1.jpg,2,3
217,,2,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell2.jpg,2,3
218,,3,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell3.jpg,1,2
219,,4,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell4.jpg,1,1
220,,5,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell5.jpg,2,3
221,,6,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell6.jpg,3,3
222,,7,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell7.jpg,3,4
223,,8,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell8.jpg,2,3
224,,9,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell9.jpg,2,2
225,,10,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell10.jpg,3,3
226,,11,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell11.jpg,3,3
227,,12,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell12.jpg,2,2
228,,13,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell13.jpg,1,2
229,,14,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell14.jpg,2,3
230,,15,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell15.jpg,3,3
231,,16,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell16.jpg,2,2
232,,17,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell17.jpg,2,2
233,,18,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell18.jpg,2,3
234,,19,5500000013_63X_20190807_S1_P5_B5_annotations_corrected.Actn2_cell19.jpg,2,3
235,,1,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell1.jpg,3,3
236,,2,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell2.jpg,3,4
237,,3,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell3.jpg,3,3
238,,4,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell4.jpg,3,3
239,,5,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell5.jpg,0,0
240,,6,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell6.jpg,1,3
241,,7,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell7.jpg,4,4
242,,8,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell8.jpg,3,3
243,,9,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell9.jpg,2,2
244,,10,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell10.jpg,3,3
245,,11,5500000013_63X_20190807_S1_P6_B2_annotations_corrected.Actn2_cell11.jpg,-1,-1
246,,1,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell1.jpg,3,4
247,,2,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell2.jpg,2,2
248,,3,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell3.jpg,3,3
249,,4,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell4.jpg,3,2
250,,5,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell5.jpg,4,4
251,,6,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell6.jpg,4,4
252,,7,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell7.jpg,3,4
253,,8,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell8.jpg,3,4
254,,9,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell9.jpg,1,1
255,,10,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell10.jpg,4,5
256,,11,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell11.jpg,3,2
257,,12,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell12.jpg,2,3
258,,1,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell1.jpg,3,3
259,,2,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell2.jpg,3,3
260,,3,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell3.jpg,2,4
261,,4,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell4.jpg,3,4
262,,5,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell5.jpg,2,2
263,,6,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell6.jpg,3,4
264,,7,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell7.jpg,1,2
265,,8,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell8.jpg,1,1
266,,9,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell9.jpg,2,3
267,,10,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell10.jpg,2,2
268,,11,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell11.jpg,3,3
269,,12,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell12.jpg,1,2
270,,13,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell13.jpg,4,4
